trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.4971999999999994, 'e': 0.9801986733067513}",20,0,-111.03789280757388,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.4971299999999994, 'e': 0.9797086964745136}",25,0,-50.83417705765511,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.4970599999999994, 'e': 0.9792189645694553}",25,2,-53.421726625122744,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 0}",1
43,False,"{'a': 0.4969899999999994, 'e': 0.9787294774691432}",20,5,-106.35551544734187,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
44,False,"{'a': 0.49691999999999936, 'e': 0.9782402350512056}",25,0,-113.96561733838267,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
45,False,"{'a': 0.49684999999999935, 'e': 0.9777512371933318}",20,0,-36.9557161583909,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.49677999999999933, 'e': 0.9772624837732724}",20,5,-28.005831356366578,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.4967099999999993, 'e': 0.9767739746688391}",30,13,-71.8449502346932,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
48,False,"{'a': 0.4966399999999993, 'e': 0.9762857097579044}",30,0,-194.00240613461716,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
49,False,"{'a': 0.4965699999999993, 'e': 0.9757976889184024}",30,0,-209.5562524165545,"{0: 18, 1: 5, 2: 2, 3: 1, 4: 4}",0
50,False,"{'a': 0.4964999999999993, 'e': 0.9753099120283276}",25,0,-87.04535741155324,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.49642999999999926, 'e': 0.974822378965736}",30,0,-237.62935856370112,"{0: 14, 1: 2, 2: 8, 3: 4, 4: 2}",0
52,False,"{'a': 0.49635999999999925, 'e': 0.974335089608744}",20,5,-59.3273354401043,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
53,False,"{'a': 0.49628999999999923, 'e': 0.9738480438355297}",20,9,5.620525146166347,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.4962199999999992, 'e': 0.9733612415243313}",25,0,-80.47224808267165,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
55,False,"{'a': 0.4961499999999992, 'e': 0.9728746825534484}",25,0,-110.00759525887906,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.4960799999999992, 'e': 0.9723883668012413}",30,0,-127.10650213283245,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
57,False,"{'a': 0.4960099999999992, 'e': 0.9719022941461308}",20,0,-126.15583399288467,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.49593999999999916, 'e': 0.971416464466599}",20,0,-175.91940518758238,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
59,False,"{'a': 0.49586999999999914, 'e': 0.9709308776411884}",30,0,-147.68146769370514,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.49579999999999913, 'e': 0.9704455335485022}",20,10,-57.355159654545325,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.4957299999999991, 'e': 0.9699604320672044}",20,0,-163.38210245531303,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
62,False,"{'a': 0.4956599999999991, 'e': 0.9694755730760197}",20,0,-173.89344951500496,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
63,False,"{'a': 0.4955899999999991, 'e': 0.9689909564537333}",30,0,-77.62058633871845,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.4955199999999991, 'e': 0.9685065820791912}",20,12,-39.509409158769564,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.49544999999999906, 'e': 0.9680224498312995}",20,0,-52.14403037010942,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.49537999999999904, 'e': 0.9675385595890253}",30,0,-184.2202383040723,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
67,False,"{'a': 0.49530999999999903, 'e': 0.9670549112313962}",25,0,-78.5046480042477,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
68,False,"{'a': 0.495239999999999, 'e': 0.9665715046374999}",30,0,-206.7881332112979,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
69,False,"{'a': 0.495169999999999, 'e': 0.9660883396864847}",25,0,-180.04676218309774,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
70,False,"{'a': 0.495099999999999, 'e': 0.9656054162575595}",20,0,-117.29853536336414,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
