trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1097,False,"{'a': 0.4232099999999841, 'e': 0.5778158844891845}",35,6,8.714368006273572,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
1098,False,"{'a': 0.4231399999999841, 'e': 0.577527048761889}",25,14,-4.589089470383638,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1099,False,"{'a': 0.42306999999998407, 'e': 0.5772383574163589}",25,0,-78.87564195048219,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
1100,False,"{'a': 0.42299999999998406, 'e': 0.5769498103804209}",30,16,21.435169272462502,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.42292999999998404, 'e': 0.5766614075819387}",30,16,-31.51475754620329,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1102,False,"{'a': 0.422859999999984, 'e': 0.5763731489488113}",25,19,4.149899665047148,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.422789999999984, 'e': 0.5760850344089742}",25,17,-7.049930587106447,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
1104,False,"{'a': 0.422719999999984, 'e': 0.5757970638903986}",20,6,-25.975969555412526,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
1105,False,"{'a': 0.422649999999984, 'e': 0.5755092373210922}",20,0,-91.48851575119647,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
1106,False,"{'a': 0.42257999999998397, 'e': 0.5752215546290979}",25,2,-1.3687481498099774,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
1107,False,"{'a': 0.42250999999998395, 'e': 0.5749340157424954}",30,3,11.125301145188612,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
1108,False,"{'a': 0.42243999999998394, 'e': 0.5746466205893997}",25,0,-78.09539294374335,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
1109,False,"{'a': 0.4223699999999839, 'e': 0.5743593690979623}",25,0,-16.118681679807402,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
1110,False,"{'a': 0.4222999999999839, 'e': 0.57407226119637}",25,0,-99.06901322642825,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
1111,False,"{'a': 0.4222299999999839, 'e': 0.5737852968128461}",25,11,17.29889561061839,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1112,False,"{'a': 0.4221599999999839, 'e': 0.5734984758756493}",30,23,-11.464144314132522,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
1113,False,"{'a': 0.42208999999998387, 'e': 0.5732117983130746}",20,8,-41.492355148252166,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 0}",1
1114,False,"{'a': 0.42201999999998385, 'e': 0.5729252640534523}",20,0,-86.25824690228282,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
1115,False,"{'a': 0.42194999999998384, 'e': 0.572638873025149}",30,13,-16.212449229363216,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
1116,False,"{'a': 0.4218799999999838, 'e': 0.572352625156567}",20,12,-9.538865364548105,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
1117,False,"{'a': 0.4218099999999838, 'e': 0.5720665203761444}",20,14,-5.475927594267609,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1118,False,"{'a': 0.4217399999999838, 'e': 0.5717805586123547}",20,6,-29.811753542825567,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1119,False,"{'a': 0.4216699999999838, 'e': 0.5714947397937077}",25,0,-82.67102399654172,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
1120,False,"{'a': 0.42159999999998377, 'e': 0.5712090638487487}",20,4,-6.810770160470293,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
1121,False,"{'a': 0.42152999999998375, 'e': 0.5709235307060585}",30,8,-79.18590272052217,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 2}",1
1122,False,"{'a': 0.42145999999998374, 'e': 0.570638140294254}",20,0,2.1523749193141555,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1123,False,"{'a': 0.4213899999999837, 'e': 0.5703528925419875}",25,9,-0.6012435131213267,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
1124,False,"{'a': 0.4213199999999837, 'e': 0.5700677873779472}",20,8,-2.1570296320341793,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1125,False,"{'a': 0.4212499999999837, 'e': 0.5697828247308566}",25,12,-7.154510410248488,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
1126,False,"{'a': 0.4211799999999837, 'e': 0.5694980045294752}",30,12,0.9053271324989256,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1127,False,"{'a': 0.42110999999998366, 'e': 0.5692133267025979}",25,0,-46.91676891685951,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
1128,False,"{'a': 0.42103999999998365, 'e': 0.5689287911790553}",25,0,-41.787341307506324,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
1129,False,"{'a': 0.42096999999998364, 'e': 0.5686443978877134}",30,17,9.773757438862074,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1130,False,"{'a': 0.4208999999999836, 'e': 0.5683601467574739}",25,12,-82.67447314035674,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 2}",1
1131,False,"{'a': 0.4208299999999836, 'e': 0.5680760377172741}",25,19,10.504256459336444,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1132,False,"{'a': 0.4207599999999836, 'e': 0.5677920706960867}",30,0,-46.626634160020906,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
1133,False,"{'a': 0.4206899999999836, 'e': 0.5675082456229199}",25,9,-1.3442619763763934,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
1134,False,"{'a': 0.42061999999998356, 'e': 0.5672245624268175}",35,20,-115.4562356889228,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 2}",1
1135,False,"{'a': 0.42054999999998355, 'e': 0.5669410210368586}",30,12,-5.022768048404497,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
1136,False,"{'a': 0.42047999999998353, 'e': 0.566657621382158}",20,0,-24.652777932982,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
1137,False,"{'a': 0.4204099999999835, 'e': 0.5663743633918656}",20,0,-31.75249094568181,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
1138,False,"{'a': 0.4203399999999835, 'e': 0.5660912469951671}",25,0,-59.14941689682412,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
1139,False,"{'a': 0.4202699999999835, 'e': 0.5658082721212832}",20,3,-28.661445689784767,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
1140,False,"{'a': 0.4201999999999835, 'e': 0.5655254386994704}",25,1,-20.790409330623277,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
1141,False,"{'a': 0.42012999999998346, 'e': 0.56524274665902}",30,4,-68.82332817348032,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 1}",1
1142,False,"{'a': 0.42005999999998345, 'e': 0.5649601959292595}",30,14,-6.295655271967911,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
1143,False,"{'a': 0.41998999999998343, 'e': 0.5646777864395507}",20,0,-25.245757257853338,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
1144,False,"{'a': 0.4199199999999834, 'e': 0.5643955181192915}",20,0,-68.26347047524017,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",1
1145,False,"{'a': 0.4198499999999834, 'e': 0.5641133908979148}",20,12,-7.168263379795195,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
1146,False,"{'a': 0.4197799999999834, 'e': 0.5638314047048887}",30,0,-61.49331943287571,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
1147,False,"{'a': 0.4197099999999834, 'e': 0.5635495594697169}",25,1,-53.04061044843109,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 0}",1
1148,False,"{'a': 0.41963999999998336, 'e': 0.5632678551219377}",20,16,4.984297897179342,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.41956999999998335, 'e': 0.5629862915911252}",20,0,-2.819976707325465,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1150,False,"{'a': 0.41949999999998333, 'e': 0.5627048688068886}",25,0,-37.32461777166138,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
1151,False,"{'a': 0.4194299999999833, 'e': 0.5624235866988722}",25,14,14.904119045403995,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1152,False,"{'a': 0.4193599999999833, 'e': 0.5621424451967553}",20,12,1.1750408306693605,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
1153,False,"{'a': 0.4192899999999833, 'e': 0.5618614442302527}",20,8,7.375859954602327,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1154,False,"{'a': 0.4192199999999833, 'e': 0.5615805837291141}",25,6,-28.24551006313735,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
1155,False,"{'a': 0.41914999999998326, 'e': 0.5612998636231243}",25,10,-32.97039594415672,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
1156,False,"{'a': 0.41907999999998324, 'e': 0.5610192838421033}",20,0,-21.048208499902284,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
1157,False,"{'a': 0.41900999999998323, 'e': 0.5607388443159063}",25,0,-58.28349190369819,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
1158,False,"{'a': 0.4189399999999832, 'e': 0.5604585449744232}",20,9,-34.773635467626264,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
1159,False,"{'a': 0.4188699999999832, 'e': 0.5601783857475793}",20,0,-25.853794077397097,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
1160,False,"{'a': 0.4187999999999832, 'e': 0.5598983665653348}",25,7,-32.51633696679851,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 0}",1
1161,False,"{'a': 0.41872999999998317, 'e': 0.5596184873576847}",25,0,-35.560979993013255,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
1162,False,"{'a': 0.41865999999998316, 'e': 0.5593387480546594}",20,8,-12.39915682636374,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
1163,False,"{'a': 0.41858999999998314, 'e': 0.5590591485863242}",30,0,-84.7319517223716,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
1164,False,"{'a': 0.4185199999999831, 'e': 0.558779688882779}",20,11,-3.9369320168576594,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
1165,False,"{'a': 0.4184499999999831, 'e': 0.5585003688741589}",25,0,-39.04303024142906,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
1166,False,"{'a': 0.4183799999999831, 'e': 0.5582211884906338}",20,4,-20.66979002692929,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
1167,False,"{'a': 0.4183099999999831, 'e': 0.5579421476624089}",25,0,-45.265637394325644,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",1
1168,False,"{'a': 0.41823999999998307, 'e': 0.5576632463197237}",20,0,-97.67085676492104,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
1169,False,"{'a': 0.41816999999998306, 'e': 0.557384484392853}",30,8,-62.28551836905415,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
1170,False,"{'a': 0.41809999999998304, 'e': 0.5571058618121064}",20,9,-18.309266284867537,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
1171,False,"{'a': 0.418029999999983, 'e': 0.556827378507828}",20,15,1.9627045290499137,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1172,False,"{'a': 0.417959999999983, 'e': 0.5565490344103973}",25,0,-76.6484327761634,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
1173,False,"{'a': 0.417889999999983, 'e': 0.556270829450228}",25,1,-60.839420997275724,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
1174,False,"{'a': 0.417819999999983, 'e': 0.5559927635577689}",30,16,-83.53508303973467,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
1175,False,"{'a': 0.41774999999998297, 'e': 0.5557148366635037}",20,0,-63.70061939213355,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
1176,False,"{'a': 0.41767999999998295, 'e': 0.5554370486979506}",25,15,-25.08965060456233,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1177,False,"{'a': 0.41760999999998294, 'e': 0.5551593995916625}",30,22,-17.75438611659024,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
1178,False,"{'a': 0.4175399999999829, 'e': 0.5548818892752272}",30,17,-17.099683599835018,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
1179,False,"{'a': 0.4174699999999829, 'e': 0.5546045176792671}",25,0,-16.76510469561015,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
1180,False,"{'a': 0.4173999999999829, 'e': 0.5543272847344393}",20,0,20.89185086660051,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
1181,False,"{'a': 0.4173299999999829, 'e': 0.5540501903714355}",20,3,-13.596231965968279,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
1182,False,"{'a': 0.41725999999998287, 'e': 0.5537732345209823}",20,0,-64.57307812094987,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
1183,False,"{'a': 0.41718999999998285, 'e': 0.5534964171138406}",20,8,-25.87421811076713,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
1184,False,"{'a': 0.41711999999998284, 'e': 0.553219738080806}",30,0,-92.28988481315938,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
1185,False,"{'a': 0.4170499999999828, 'e': 0.5529431973527088}",25,7,-20.204657192648966,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
1186,False,"{'a': 0.4169799999999828, 'e': 0.5526667948604138}",25,15,8.094179038496517,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1187,False,"{'a': 0.4169099999999828, 'e': 0.5523905305348206}",25,8,-103.01967943448696,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 2}",1
1188,False,"{'a': 0.4168399999999828, 'e': 0.5521144043068628}",20,7,9.809326448272284,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1189,False,"{'a': 0.41676999999998277, 'e': 0.5518384161075087}",20,0,-11.71851847830846,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
1190,False,"{'a': 0.41669999999998275, 'e': 0.5515625658677618}",20,0,12.238273095615687,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
1191,False,"{'a': 0.41662999999998274, 'e': 0.5512868535186591}",20,0,-116.73601233969478,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
1192,False,"{'a': 0.4165599999999827, 'e': 0.5510112789912728}",20,0,-71.13004969613442,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
1193,False,"{'a': 0.4164899999999827, 'e': 0.5507358422167089}",30,12,-20.81215538562721,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1194,False,"{'a': 0.4164199999999827, 'e': 0.5504605431261086}",20,0,-12.237243950060156,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1195,False,"{'a': 0.4163499999999827, 'e': 0.5501853816506468}",25,0,-49.933566951800444,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
1196,False,"{'a': 0.41627999999998266, 'e': 0.5499103577215334}",20,8,-26.123951219163366,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
1197,False,"{'a': 0.41620999999998265, 'e': 0.5496354712700122}",25,6,-10.855731131451204,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
1198,False,"{'a': 0.41613999999998263, 'e': 0.5493607222273618}",25,7,-18.08029137538495,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
1199,False,"{'a': 0.4160699999999826, 'e': 0.5490861105248948}",25,17,-14.451991682078294,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
1200,False,"{'a': 0.4159999999999826, 'e': 0.5488116360939582}",20,10,-15.926992450672103,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
1201,False,"{'a': 0.4159299999999826, 'e': 0.5485372988659336}",25,0,-64.90728317491326,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
1202,False,"{'a': 0.4158599999999826, 'e': 0.5482630987722364}",25,15,19.027606499612894,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1203,False,"{'a': 0.41578999999998256, 'e': 0.5479890357443169}",20,0,-31.27052576954444,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
1204,False,"{'a': 0.41571999999998255, 'e': 0.5477151097136591}",20,12,-11.154708565017835,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
1205,False,"{'a': 0.41564999999998253, 'e': 0.5474413206117816}",25,4,-33.54009642693579,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 0}",1
1206,False,"{'a': 0.4155799999999825, 'e': 0.5471676683702371}",25,1,-20.702343853747728,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
1207,False,"{'a': 0.4155099999999825, 'e': 0.5468941529206126}",20,6,-93.30614059898616,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
1208,False,"{'a': 0.4154399999999825, 'e': 0.5466207741945291}",30,0,-22.049638261702224,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
1209,False,"{'a': 0.4153699999999825, 'e': 0.5463475321236422}",20,9,-8.804103506867525,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
1210,False,"{'a': 0.41529999999998246, 'e': 0.546074426639641}",25,18,15.49196043189098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1211,False,"{'a': 0.41522999999998245, 'e': 0.5458014576742494}",30,16,-0.5154458671825219,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1212,False,"{'a': 0.41515999999998243, 'e': 0.5455286251592248}",35,1,-116.67401595017007,"{0: 25, 1: 0, 2: 7, 3: 0, 4: 2}",1
1213,False,"{'a': 0.4150899999999824, 'e': 0.5452559290263597}",35,0,-139.630544280359,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 3}",0
1214,False,"{'a': 0.4150199999999824, 'e': 0.5449833692074794}",20,11,-37.93791962288018,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
1215,False,"{'a': 0.4149499999999824, 'e': 0.5447109456344443}",25,0,-22.746332767524454,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
1216,False,"{'a': 0.4148799999999824, 'e': 0.5444386582391485}",30,15,2.1746808772698447,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
1217,False,"{'a': 0.41480999999998236, 'e': 0.5441665069535202}",20,0,-68.69868137874107,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
1218,False,"{'a': 0.41473999999998235, 'e': 0.5438944917095213}",30,11,2.875997755089002,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
1219,False,"{'a': 0.41466999999998233, 'e': 0.5436226124391482}",30,0,-60.909517005250656,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
1220,False,"{'a': 0.4145999999999823, 'e': 0.5433508690744311}",25,10,-41.343805603828876,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
1221,False,"{'a': 0.4145299999999823, 'e': 0.5430792615474341}",20,0,13.742610968062499,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
1222,False,"{'a': 0.4144599999999823, 'e': 0.5428077897902552}",20,4,-105.46039027186988,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
1223,False,"{'a': 0.4143899999999823, 'e': 0.5425364537350268}",25,13,4.7545984112015525,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
1224,False,"{'a': 0.41431999999998226, 'e': 0.5422652533139145}",20,2,-18.734722636725667,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
1225,False,"{'a': 0.41424999999998224, 'e': 0.5419941884591184}",25,0,-15.439689503090097,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
1226,False,"{'a': 0.41417999999998223, 'e': 0.5417232591028721}",25,13,-11.006233243055222,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
1227,False,"{'a': 0.4141099999999822, 'e': 0.5414524651774435}",20,0,-32.97406633183101,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
1228,False,"{'a': 0.4140399999999822, 'e': 0.541181806615134}",25,13,-43.652378689988005,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
1229,False,"{'a': 0.4139699999999822, 'e': 0.540911283348279}",20,2,13.149005724642043,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
1230,False,"{'a': 0.41389999999998217, 'e': 0.5406408953092476}",25,0,-78.14298903891603,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",1
1231,False,"{'a': 0.41382999999998216, 'e': 0.540370642430443}",35,18,20.17271888580241,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1232,False,"{'a': 0.41375999999998214, 'e': 0.5401005246443017}",25,0,-42.993634997380084,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
1233,False,"{'a': 0.4136899999999821, 'e': 0.5398305418832944}",25,3,-10.868375362078186,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
1234,False,"{'a': 0.4136199999999821, 'e': 0.5395606940799254}",30,20,21.62645715165453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1235,False,"{'a': 0.4135499999999821, 'e': 0.5392909811667327}",30,18,-48.57875001537482,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
1236,False,"{'a': 0.4134799999999821, 'e': 0.5390214030762881}",20,5,10.042799421508601,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1237,False,"{'a': 0.41340999999998207, 'e': 0.538751959741197}",20,1,-8.512565563794164,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
1238,False,"{'a': 0.41333999999998206, 'e': 0.5384826510940988}",20,9,-4.3342862096391,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1239,False,"{'a': 0.41326999999998204, 'e': 0.538213477067666}",20,10,-19.232099554666863,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
1240,False,"{'a': 0.413199999999982, 'e': 0.5379444375946054}",20,0,-33.75959645414225,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
1241,False,"{'a': 0.413129999999982, 'e': 0.5376755326076569}",30,21,13.836615420902437,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1242,False,"{'a': 0.413059999999982, 'e': 0.5374067620395945}",25,9,-25.969115731460157,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
1243,False,"{'a': 0.412989999999982, 'e': 0.5371381258232253}",25,19,-0.7286640752545912,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1244,False,"{'a': 0.41291999999998197, 'e': 0.5368696238913905}",20,0,-91.23275760059153,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
1245,False,"{'a': 0.41284999999998195, 'e': 0.5366012561769642}",35,16,-3.8039693424325156,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
1246,False,"{'a': 0.41277999999998194, 'e': 0.536333022612855}",25,14,-24.385114279559964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1247,False,"{'a': 0.4127099999999819, 'e': 0.536064923132004}",35,25,-38.26711042053338,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
1248,False,"{'a': 0.4126399999999819, 'e': 0.5357969576673868}",20,13,-2.210483175236502,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
1249,False,"{'a': 0.4125699999999819, 'e': 0.5355291261520116}",35,21,2.7069609801804297,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1250,False,"{'a': 0.4124999999999819, 'e': 0.535261428518921}",20,8,-1.4345451351707554,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
1251,False,"{'a': 0.41242999999998187, 'e': 0.53499386470119}",20,0,-94.0515674888146,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
1252,False,"{'a': 0.41235999999998185, 'e': 0.5347264346319283}",20,6,-23.469091159696422,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
1253,False,"{'a': 0.41228999999998184, 'e': 0.5344591382442777}",20,0,-74.04136014358076,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
1254,False,"{'a': 0.4122199999999818, 'e': 0.5341919754714146}",25,11,-16.89997503540321,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1255,False,"{'a': 0.4121499999999818, 'e': 0.5339249462465483}",35,5,-91.05865000498733,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",1
1256,False,"{'a': 0.4120799999999818, 'e': 0.5336580505029211}",30,0,-31.313839876230222,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
1257,False,"{'a': 0.4120099999999818, 'e': 0.5333912881738095}",30,21,-5.8521329262311195,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1258,False,"{'a': 0.41193999999998177, 'e': 0.5331246591925226}",35,19,26.571271649846334,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1259,False,"{'a': 0.41186999999998175, 'e': 0.5328581634924033}",20,0,-53.65253737907883,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
1260,False,"{'a': 0.41179999999998174, 'e': 0.5325918010068277}",30,9,-2.780444429316912,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
1261,False,"{'a': 0.4117299999999817, 'e': 0.532325571669205}",20,0,9.577557249259838,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1262,False,"{'a': 0.4116599999999817, 'e': 0.532059475412978}",25,3,-40.41346007495548,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
1263,False,"{'a': 0.4115899999999817, 'e': 0.5317935121716229}",25,0,5.576125210416636,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
1264,False,"{'a': 0.4115199999999817, 'e': 0.5315276818786483}",25,4,-21.10553150690108,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
1265,False,"{'a': 0.41144999999998166, 'e': 0.5312619844675971}",25,20,8.556961872989342,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1266,False,"{'a': 0.41137999999998165, 'e': 0.5309964198720447}",20,16,9.558965177199251,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1267,False,"{'a': 0.41130999999998163, 'e': 0.5307309880256001}",20,0,-0.834759538734279,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
